Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped,Population,Avg_Taxable_Income,Number_of_Buildings,Number_of_Transactions,Add_Fearures
Province of East Flanders,Apartment,apartment,339000.0,2.0,72,A,51.0,Good,Apartments,269597,36726.16,810047,6028,True
Province of Limburg,House,villa,795000.0,6.0,606,C,300.0,Good,Luxury Properties,41469,36465.6,145379,3951,True
Province of West Flanders,Apartment,apartment,189000.0,1.0,75,D,389.0,Good,Apartments,72586,33257.05,244961,13344,True
Brussels-Capital Region,Apartment,apartment,245000.0,1.0,64,B,60.0,As new,Apartments,126581,26480.5,210927,18015,False
Province of East Flanders,House,house,319000.0,3.0,117,E,424.0,Good,Houses,19310,42701.94,70228,24025,True
Brussels-Capital Region,Apartment,apartment,259000.0,2.0,110,F,276.0,Good,Apartments,98365,25895.01,133439,16848,True
Province of East Flanders,House,house,549000.0,3.0,220,B,140.0,Good,Houses,6660,41951.65,25945,14629,True
Province of Antwerp,Apartment,apartment,260000.0,2.0,130,C,202.0,Good,Apartments,26588,41585.24,77615,14168,True
Province of Flemish Brabant,House,house,845000.0,4.0,416,E,447.0,Not specified,Houses,4592,46808.17,16264,3770,False
Province of East Flanders,House,house,345000.0,3.0,151,B,107.0,Good,Houses,14062,46227.42,52861,15288,True
Province of West Flanders,House,house,895000.0,4.0,204,A,317.0,Not specified,Houses,32514,49005.78,218080,23881,False
Province of Liège,Apartment,apartment,260000.0,2.0,88,B,149.0,Good,Apartments,195778,29723.4,553498,4139,True
Province of Antwerp,Apartment,apartment,925000.0,2.0,249,A,73.0,As new,Apartments,544759,33144.07,1227104,4398,True
Brussels-Capital Region,House,house,850000.0,5.0,230,G,413.0,To be done up,Houses,86806,43621.92,224317,19952,True
Province of East Flanders,House,house,219000.0,3.0,131,F,819.0,To renovate,Houses,18928,41898.49,69991,23049,False
Province of Walloon Brabant,House,villa,995000.0,5.0,295,E,384.0,To be done up,Luxury Properties,14198,54821.33,57251,12078,True
Province of East Flanders,House,house,135000.0,1.0,51,F,1786.0,To renovate,Houses,20144,42188.34,73055,22644,False
Province of East Flanders,House,house,260000.0,2.0,121,C,232.0,Good,Houses,22401,34900.42,79144,3997,True
Province of East Flanders,House,house,545000.0,3.0,200,C,299.0,Not specified,Houses,12532,43767.71,48322,22524,True
Brussels-Capital Region,Apartment,apartment,235000.0,1.0,85,F,328.0,To be done up,Apartments,58044,31300.75,97050,19678,True
Province of West Flanders,Apartment,apartment,179000.0,2.0,114,C,267.0,Good,Apartments,34417,33568.26,122516,6488,True
Province of Flemish Brabant,House,villa,1095000.0,6.0,306,C,211.0,Good,Luxury Properties,21165,48540.08,70591,9287,True
Province of Flemish Brabant,House,house,275000.0,2.0,200,D,337.0,To renovate,Houses,11474,58045.49,43091,7669,False
Province of Antwerp,House,exceptional-property,1050000.0,4.0,250,Not specified,317.0,As new,Luxury Properties,15454,51407.17,56325,2469,True
Province of West Flanders,Apartment,apartment,239000.0,1.0,67,B,157.0,Good,Apartments,18180,37625.2,77452,3285,False
Province of Luxembourg,House,house,800000.0,5.0,271,Not specified,11.0,Not specified,Houses,6024,45794.22,22396,0,True
Province of Limburg,House,house,175000.0,3.0,137,F,540.0,To renovate,Houses,41469,36465.6,145379,3951,True
Province of Antwerp,House,apartment-block,875000.0,9.0,315,C,274.0,To renovate,Specialized Properties,544759,33144.07,1227104,4398,True
Province of Walloon Brabant,House,villa,995000.0,5.0,295,E,384.0,To be done up,Luxury Properties,30596,49868.21,110845,5016,True
Province of West Flanders,House,house,875000.0,3.0,204,B,179.0,As new,Houses,32514,49005.78,218080,23881,False
Province of East Flanders,House,house,269000.0,3.0,132,F,726.0,To renovate,Houses,14650,40734.34,58215,227373,True
Province of Flemish Brabant,House,mixed-use-building,895000.0,4.0,434,B,162.0,As new,Specialized Properties,19404,43948.88,69720,4064,False
Province of East Flanders,House,house,379000.0,4.0,144,C,241.0,As new,Houses,269597,36726.16,810047,6028,True
Province of Flemish Brabant,Apartment,apartment,270000.0,3.0,142,B,190.0,Good,Apartments,15124,50956.47,56231,6705,True
Province of Flemish Brabant,House,villa,699000.0,6.0,426,C,267.0,As new,Luxury Properties,6261,38690.11,24275,26323,False
Province of West Flanders,House,mansion,895000.0,3.0,252,C,244.0,As new,Luxury Properties,119869,38379.28,447131,54152,True
Province of East Flanders,House,house,270000.0,3.0,140,F,1096.0,To renovate,Houses,12532,43767.71,48322,22524,False
Province of Antwerp,House,house,1245000.0,8.0,485,B,317.0,As new,Houses,38210,38750.74,123829,15219,True
Province of East Flanders,House,house,549000.0,2.0,260,B,169.0,Good,Houses,50838,42918.71,176284,59699,True
Province of Antwerp,House,villa,970000.0,7.0,409,F,923.0,To renovate,Luxury Properties,38470,44845.46,131624,18190,True
Province of Luxembourg,House,house,59900.0,3.0,170,G,317.0,To renovate,Houses,5377,30493.52,27979,0,True
Brussels-Capital Region,Apartment,apartment,275000.0,1.0,83,E,253.0,Good,Apartments,58044,31300.75,97050,19678,True
Province of Antwerp,House,villa,1350000.0,5.0,569,C,261.0,As new,Luxury Properties,14828,43212.98,53656,49133,True
Province of East Flanders,House,house,349000.0,4.0,150,C,300.0,To be done up,Houses,269597,36726.16,810047,6028,True
Province of Namur,House,exceptional-property,899000.0,8.0,320,F,461.0,Good,Luxury Properties,114142,35393.56,357401,0,True
Province of Flemish Brabant,House,house,439000.0,4.0,191,D,386.0,As new,Houses,44878,43899.63,143386,5608,True
Province of East Flanders,House,house,349000.0,3.0,117,C,317.0,To be done up,Houses,269597,36726.16,810047,6028,True
Province of Antwerp,House,mixed-use-building,149000.0,1.0,47,B,179.0,Good,Specialized Properties,544759,33144.07,1227104,4398,True
Province of Hainaut,House,mixed-use-building,585000.0,8.0,400,D,294.0,Good,Specialized Properties,68554,33809.42,241810,14400,True
Province of Antwerp,Apartment,apartment,735000.0,3.0,315,B,158.0,Not specified,Apartments,47305,34133.3,142045,8833,False
Province of Liège,House,house,79000.0,2.0,90,F,465.0,To renovate,Houses,5612,38896.68,19936,186842,True
Province of Hainaut,House,house,585000.0,8.0,400,D,294.0,Good,Houses,68554,33809.42,241810,14400,True
Province of Limburg,House,villa,1365000.0,6.0,280,C,272.0,Not specified,Luxury Properties,35017,36813.76,120276,8119,True
Brussels-Capital Region,Apartment,penthouse,990000.0,4.0,200,G,538.0,Good,Apartments,86806,43621.92,224317,19952,True
Province of Liège,House,house,115000.0,1.0,44,F,481.0,Good,Houses,195778,29723.4,553498,4139,True
Brussels-Capital Region,House,house,1195000.0,4.0,285,E,226.0,As new,Houses,42571,49629.39,117715,6157,True
Brussels-Capital Region,House,mixed-use-building,750000.0,4.0,270,C,138.0,Good,Specialized Properties,89278,36192.4,192538,3920,False
Province of West Flanders,House,house,985000.0,4.0,254,A,100.0,As new,Houses,32514,49005.78,218080,23881,True
Province of Luxembourg,House,house,188000.0,3.0,90,F,463.0,To be done up,Houses,11972,36446.9,44392,0,False
Province of Flemish Brabant,Apartment,service-flat,275000.0,1.0,59,A,59.0,As new,Apartments,104009,43011.99,344112,18038,True
Province of Liège,House,house,210000.0,4.0,135,E,374.0,To renovate,Houses,6009,40794.5,21360,34059,True
Province of Namur,House,house,500000.0,1.0,245,Not specified,317.0,Good,Houses,114142,35393.56,357401,0,False
Province of Antwerp,Apartment,apartment,275000.0,2.0,73,A,95.0,Just renovated,Apartments,89313,39500.05,263172,4655,True
Brussels-Capital Region,Apartment,penthouse,1480000.0,3.0,296,D,166.0,As new,Apartments,86806,43621.92,224317,19952,True
Brussels-Capital Region,House,house,995000.0,5.0,265,F,290.0,To renovate,Houses,42571,49629.39,117715,6157,True
Province of Antwerp,House,house,265000.0,3.0,155,F,690.0,To be done up,Houses,10594,39250.47,40683,2595,True
Province of Flemish Brabant,House,country-cottage,995000.0,5.0,417,D,317.0,To be done up,Houses,16390,41549.09,57695,2432,False
Province of West Flanders,House,house,295000.0,4.0,184,B,175.0,As new,Houses,18180,37625.2,77452,3285,True
Province of Liège,House,house,285000.0,3.0,105,D,324.0,Just renovated,Houses,23261,31572.93,76079,7948,True
Province of Liège,House,house,515000.0,4.0,224,B,169.0,As new,Houses,4207,40566.22,15417,5694,True
Province of Hainaut,House,house,795000.0,4.0,345,A,83.0,As new,Houses,11624,39767.29,40163,2515,True
Province of Flemish Brabant,House,villa,998000.0,5.0,463,B,189.0,Good,Luxury Properties,24001,39614.54,92557,6501,False
Province of Liège,House,house,250000.0,4.0,145,C,243.0,Good,Houses,24491,28715.37,74719,1844,True
Brussels-Capital Region,House,exceptional-property,899000.0,4.0,330,G,583.0,To be done up,Luxury Properties,196828,29704.33,380145,17660,True
Province of Antwerp,House,house,259000.0,2.0,197,F,688.0,To renovate,Houses,26957,44065.2,94276,5428,False
Province of Flemish Brabant,Apartment,apartment,239000.0,2.0,90,C,261.0,To be done up,Apartments,39860,44280.93,119697,25275,False
Brussels-Capital Region,Apartment,apartment,240000.0,2.0,80,C,119.0,Just renovated,Apartments,126581,26480.5,210927,18015,True
Province of West Flanders,House,house,299000.0,3.0,132,B,152.0,Just renovated,Houses,72586,33257.05,244961,13344,True
Brussels-Capital Region,Apartment,apartment,1425000.0,4.0,370,C,118.0,As new,Apartments,196828,29704.33,380145,17660,True
Province of East Flanders,House,house,339000.0,3.0,193,B,182.0,Good,Houses,11981,45434.68,41316,19070,True
Province of Flemish Brabant,House,house,1099000.0,5.0,300,A,98.0,As new,Houses,104009,43011.99,344112,18038,False
Brussels-Capital Region,House,house,619000.0,4.0,220,D,210.0,Not specified,Houses,196828,29704.33,380145,17660,True
Province of Antwerp,House,house,349000.0,2.0,153,C,252.0,Good,Houses,34641,43194.52,105168,10768,True
Province of Limburg,House,house,285000.0,3.0,120,D,349.0,Good,Houses,8732,40866.53,32157,9707,True
Brussels-Capital Region,House,mixed-use-building,545000.0,6.0,300,G,453.0,Good,Specialized Properties,49293,28468.3,88414,15806,True
Province of Hainaut,House,country-cottage,699000.0,4.0,284,D,256.0,Just renovated,Houses,18735,33759.46,65535,18597,True
Province of Walloon Brabant,House,villa,1100000.0,4.0,262,D,318.0,As new,Luxury Properties,16068,44783.0,55174,4401,True
Province of East Flanders,House,house,299000.0,3.0,130,B,141.0,As new,Houses,19310,42701.94,70228,24025,True
Province of Antwerp,Apartment,apartment,595000.0,3.0,211,A,317.0,Good,Apartments,544759,33144.07,1227104,4398,True
Province of West Flanders,House,house,980000.0,3.0,247,Not specified,317.0,Not specified,Houses,119869,38379.28,447131,54152,True
Province of Liège,House,bungalow,310000.0,3.0,120,F,502.0,Good,Houses,4128,43268.97,14370,16555,True
Province of West Flanders,Apartment,apartment,195000.0,2.0,95,B,163.0,To be done up,Apartments,72586,33257.05,244961,13344,True
Brussels-Capital Region,Apartment,apartment,980000.0,4.0,270,E,265.0,To renovate,Apartments,89278,36192.4,192538,3920,True
Province of Luxembourg,House,house,289000.0,2.0,122,F,482.0,Good,Houses,5706,32015.79,21330,12549,True
Province of Flemish Brabant,House,villa,999000.0,4.0,345,B,164.0,Good,Luxury Properties,39860,44280.93,119697,25275,True
Province of Flemish Brabant,House,mixed-use-building,290000.0,4.0,175,D,380.0,Good,Specialized Properties,6261,38690.11,24275,26323,True
Province of Luxembourg,House,villa,869000.0,7.0,362,C,225.0,Not specified,Luxury Properties,11506,32422.04,57491,11194,True
Brussels-Capital Region,Apartment,penthouse,295000.0,1.0,71,E,269.0,Not specified,Apartments,60771,39197.85,137181,288528,True
Province of East Flanders,House,mixed-use-building,650000.0,3.0,383,B,152.0,Good,Specialized Properties,22401,34900.42,79144,3997,True
Province of Walloon Brabant,House,villa,1100000.0,4.0,262,D,318.0,As new,Luxury Properties,10854,41988.61,33735,16898,True
Province of Antwerp,House,house,295000.0,4.0,138,E,465.0,To renovate,Houses,544759,33144.07,1227104,4398,True
Province of East Flanders,House,house,165000.0,2.0,110,F,613.0,To renovate,Houses,21501,37265.98,72757,11072,False
Province of Antwerp,Apartment,apartment,339000.0,3.0,112,A,91.0,Good,Apartments,28248,38599.87,86025,7933,True
Province of Antwerp,House,villa,715000.0,4.0,228,C,214.0,Good,Luxury Properties,89313,39500.05,263172,4655,True
Province of Luxembourg,House,apartment-block,1650000.0,13.0,540,E,317.0,Just renovated,Specialized Properties,31310,46116.34,107219,9599,True
Brussels-Capital Region,House,house,1100000.0,4.0,265,E,271.0,Not specified,Houses,25295,40886.53,68677,9462,True
Province of East Flanders,House,house,339000.0,3.0,193,C,245.0,Good,Houses,90995,38691.96,291881,9696,True
Province of West Flanders,House,house,295000.0,3.0,200,F,536.0,Good,Houses,39997,38756.11,146579,56882,True
Province of Antwerp,Apartment,apartment,525000.0,3.0,200,B,180.0,Not specified,Apartments,544759,33144.07,1227104,4398,True
Province of Antwerp,House,villa,1150000.0,10.0,395,F,994.0,Good,Luxury Properties,89313,39500.05,263172,4655,False
Province of East Flanders,House,house,296000.0,3.0,195,F,755.0,To be done up,Houses,15961,43436.15,61534,24897,True
Province of East Flanders,House,villa,995000.0,5.0,314,C,297.0,Not specified,Luxury Properties,47185,38820.1,160975,4396,True
Province of East Flanders,House,house,298000.0,3.0,170,E,451.0,Good,Houses,90995,38691.96,291881,9696,True
Province of Antwerp,House,villa,1195000.0,7.0,563,D,329.0,Good,Luxury Properties,38470,44845.46,131624,18190,True
Province of Antwerp,Apartment,apartment,297500.0,2.0,120,A,95.0,Not specified,Apartments,544759,33144.07,1227104,4398,True
Province of Liège,House,house,295000.0,3.0,100,C,253.0,As new,Houses,195778,29723.4,553498,4139,True
Brussels-Capital Region,House,house,1150000.0,8.0,600,F,345.0,Good,Houses,196828,29704.33,380145,17660,True
Province of Luxembourg,House,house,235000.0,3.0,123,D,273.0,Just renovated,Houses,5735,35406.29,22312,3856,True
Province of Antwerp,House,house,549000.0,2.0,201,C,257.0,Good,Houses,89313,39500.05,263172,4655,True
Brussels-Capital Region,House,house,375000.0,2.0,140,G,470.0,To renovate,Houses,35350,42739.22,90826,55173,True
Province of East Flanders,House,house,295000.0,2.0,101,B,139.0,Just renovated,Houses,269597,36726.16,810047,6028,True
Province of West Flanders,House,house,329000.0,4.0,162,C,292.0,Just renovated,Houses,29904,37873.65,105097,14865,False
Province of East Flanders,Apartment,apartment,379000.0,2.0,109,A,96.0,Not specified,Apartments,269597,36726.16,810047,6028,True
Province of Antwerp,House,house,518000.0,3.0,200,Not specified,317.0,Not specified,Houses,44505,39914.48,170277,3762,True
Province of Antwerp,House,house,1245000.0,5.0,347,B,183.0,As new,Houses,544759,33144.07,1227104,4398,True
Brussels-Capital Region,Apartment,apartment,1125000.0,3.0,300,D,171.0,Not specified,Apartments,42571,49629.39,117715,6157,True
Province of West Flanders,House,house,455000.0,4.0,184,F,502.0,Good,Houses,32514,49005.78,218080,23881,True
Brussels-Capital Region,Apartment,penthouse,299000.0,2.0,85,E,227.0,As new,Apartments,26895,22954.31,36878,7264,True
Province of Walloon Brabant,House,house,1250000.0,4.0,300,C,255.0,As new,Houses,40461,43475.47,136981,9066,True
Province of East Flanders,House,house,349000.0,3.0,193,B,165.0,Good,Houses,32702,39518.48,117883,21321,True
Province of Walloon Brabant,Apartment,duplex,1100000.0,2.0,220,B,119.0,As new,Apartments,23096,46842.84,79165,5366,True
Province of East Flanders,Apartment,apartment,285000.0,1.0,62,A,98.0,Not specified,Apartments,269597,36726.16,810047,6028,False
Brussels-Capital Region,Apartment,ground-floor,380000.0,2.0,80,C,102.0,As new,Apartments,35350,42739.22,90826,55173,True
Brussels-Capital Region,Apartment,penthouse,299000.0,2.0,85,E,227.0,As new,Apartments,98365,25895.01,133439,16848,True
Province of West Flanders,Apartment,penthouse,1480000.0,3.0,234,B,111.0,As new,Apartments,72586,33257.05,244961,13344,True
Brussels-Capital Region,Apartment,penthouse,895000.0,3.0,205,F,335.0,As new,Apartments,60771,39197.85,137181,288528,True
Province of East Flanders,House,house,375000.0,4.0,157,E,430.0,To be done up,Houses,90995,38691.96,291881,9696,False
Province of West Flanders,House,house,1240000.0,5.0,237,B,123.0,As new,Houses,23460,41859.88,91482,7211,True
Province of East Flanders,House,house,298000.0,2.0,119,F,686.0,To renovate,Houses,22401,34900.42,79144,3997,True
Brussels-Capital Region,Apartment,penthouse,450000.0,3.0,86,D,193.0,As new,Apartments,196828,29704.33,380145,17660,True
Province of West Flanders,Apartment,loft,1495000.0,3.0,324,D,317.0,As new,Specialized Properties,32514,49005.78,218080,23881,False
Province of Liège,House,house,369000.0,3.0,150,B,145.0,Just renovated,Houses,9028,35786.99,32745,15160,True
Province of West Flanders,Apartment,penthouse,1490000.0,3.0,234,B,317.0,Not specified,Apartments,72586,33257.05,244961,13344,False
Province of Antwerp,House,villa,1375000.0,3.0,451,B,161.0,As new,Luxury Properties,14828,43212.98,53656,49133,True
Province of Liège,House,house,375000.0,3.0,183,E,418.0,Good,Houses,3644,35511.41,14607,61208,True
Province of East Flanders,Apartment,apartment,435000.0,2.0,102,B,140.0,Good,Apartments,269597,36726.16,810047,6028,False
Province of East Flanders,House,house,299000.0,3.0,182,D,325.0,Good,Houses,28085,41829.48,105183,16211,True
Province of East Flanders,House,house,529000.0,5.0,370,C,247.0,Good,Houses,43554,38938.25,143573,11502,True
Province of Flemish Brabant,House,villa,1395000.0,6.0,383,D,322.0,Good,Luxury Properties,26505,45534.17,87780,58076,True
Province of Hainaut,House,villa,375000.0,4.0,168,D,337.0,Good,Luxury Properties,23443,37514.58,73233,1711,True
Province of Antwerp,Apartment,apartment,385000.0,2.0,93,C,247.0,As new,Apartments,38210,38750.74,123829,15219,True
Province of Antwerp,House,house,299000.0,3.0,130,C,298.0,Good,Houses,10966,38765.08,33356,10817,True
Brussels-Capital Region,Apartment,apartment,1500000.0,3.0,274,E,214.0,Just renovated,Apartments,26895,22954.31,36878,7264,True
Province of West Flanders,Apartment,apartment,1530000.0,3.0,241,Not specified,317.0,Not specified,Apartments,119869,38379.28,447131,54152,True
Province of Walloon Brabant,House,house,1695000.0,5.0,460,C,207.0,Just renovated,Houses,14198,54821.33,57251,12078,True
Province of East Flanders,House,country-cottage,1400000.0,3.0,282,D,393.0,Not specified,Houses,45471,42117.19,171088,11335,True
Brussels-Capital Region,Apartment,apartment,1590000.0,3.0,200,Not specified,317.0,Not specified,Apartments,86806,43621.92,224317,19952,True
Brussels-Capital Region,House,house,400000.0,4.0,185,G,467.0,Good,Houses,126581,26480.5,210927,18015,True
Province of East Flanders,House,house,319000.0,3.0,131,F,1134.0,To renovate,Houses,10687,42704.05,40227,21094,False
Province of West Flanders,House,house,190000.0,3.0,144,D,346.0,Good,Houses,29227,36788.45,108537,1923,False
Province of Antwerp,House,house,549000.0,3.0,240,B,317.0,Good,Houses,10580,40604.07,31736,3057,True
Province of Walloon Brabant,House,exceptional-property,1550000.0,4.0,355,C,213.0,Good,Luxury Properties,23096,46842.84,79165,5366,True
Province of West Flanders,Apartment,apartment,225000.0,2.0,83,B,120.0,Good,Apartments,72586,33257.05,244961,13344,True
Brussels-Capital Region,Apartment,apartment,244500.0,2.0,82,D,176.0,Good,Apartments,25564,31068.82,45830,17803,True
Brussels-Capital Region,Apartment,apartment,325000.0,2.0,92,D,175.0,Good,Apartments,26895,22954.31,36878,7264,True
Province of Flemish Brabant,House,villa,1600000.0,5.0,322,D,344.0,Good,Luxury Properties,13962,53968.09,46635,2768,True
Province of East Flanders,House,house,239000.0,3.0,188,F,1256.0,To renovate,Houses,19402,42080.81,70655,60203,True
Brussels-Capital Region,Apartment,apartment,325000.0,2.0,117,D,185.0,Good,Apartments,60771,39197.85,137181,288528,True
Province of East Flanders,House,villa,725000.0,5.0,364,B,151.0,Not specified,Luxury Properties,14957,43632.41,55133,12420,True
Province of East Flanders,House,house,1085000.0,0.0,200,D,340.0,Good,Houses,269597,36726.16,810047,6028,True
Province of Walloon Brabant,Apartment,apartment,340000.0,2.0,90,C,212.0,Good,Apartments,40461,43475.47,136981,9066,True
Province of East Flanders,House,house,175000.0,2.0,109,F,1355.0,To renovate,Houses,26960,38113.98,93444,2636,True
Province of East Flanders,House,house,299000.0,3.0,130,F,800.0,Good,Houses,36860,41865.43,135596,3720,False
Province of Liège,House,house,665000.0,6.0,282,B,151.0,Good,Houses,195778,29723.4,553498,4139,True
Province of East Flanders,House,house,549000.0,5.0,291,B,178.0,As new,Houses,40363,38251.48,138385,48169,True
Province of Flemish Brabant,House,villa,795000.0,4.0,331,C,237.0,Not specified,Luxury Properties,25970,53299.92,96914,5033,True
Brussels-Capital Region,Apartment,apartment,295000.0,2.0,98,D,210.0,As new,Apartments,22648,28773.31,32431,33024,True
Province of Antwerp,Apartment,apartment,249000.0,2.0,98,B,199.0,Good,Apartments,30610,43103.88,106078,10507,True
Province of Antwerp,Apartment,apartment,325000.0,2.0,85,A,45.0,Not specified,Apartments,28248,38599.87,86025,7933,True
Province of Walloon Brabant,House,villa,1199000.0,4.0,270,C,248.0,As new,Luxury Properties,11114,44726.49,38750,5205,True
Province of Walloon Brabant,House,house,625000.0,5.0,290,E,349.0,Good,Houses,5662,44112.67,19639,4309,True
Province of Antwerp,House,house,329000.0,2.0,114,C,296.0,As new,Houses,544759,33144.07,1227104,4398,False
Province of Liège,Apartment,apartment,140000.0,2.0,102,D,314.0,Good,Apartments,15489,36461.35,52112,14759,False
Province of Flemish Brabant,House,villa,595000.0,4.0,226,B,197.0,As new,Luxury Properties,19404,43948.88,69720,4064,True
Province of Walloon Brabant,House,exceptional-property,648000.0,4.0,210,B,163.0,To be done up,Luxury Properties,29070,39782.46,88101,4235,True
Province of Antwerp,House,house,649000.0,5.0,251,B,122.0,As new,Houses,18826,43170.27,63889,2264,True
Province of Antwerp,Apartment,duplex,334000.0,3.0,104,Not specified,317.0,Good,Apartments,18826,43170.27,63889,2264,True
Province of East Flanders,House,house,360000.0,5.0,189,E,447.0,Good,Houses,26960,38113.98,93444,2636,True
Province of Antwerp,Apartment,penthouse,980000.0,2.0,237,A,61.0,Not specified,Apartments,47305,34133.3,142045,8833,True
Province of East Flanders,House,exceptional-property,555000.0,4.0,350,E,453.0,To be done up,Luxury Properties,27356,32084.7,82867,11685,True
Province of West Flanders,House,house,295000.0,3.0,120,D,380.0,Good,Houses,119869,38379.28,447131,54152,True
Province of West Flanders,House,house,279000.0,2.0,118,E,444.0,As new,Houses,119869,38379.28,447131,54152,True
Province of Flemish Brabant,House,house,329000.0,2.0,198,D,340.0,Not specified,Houses,13651,45636.73,48347,17630,True
Province of Antwerp,House,villa,659000.0,4.0,230,C,262.0,As new,Luxury Properties,21693,47562.79,72573,10545,True
Province of East Flanders,House,villa,779000.0,4.0,217,C,229.0,Good,Luxury Properties,90995,38691.96,291881,9696,True
Province of East Flanders,House,house,335000.0,2.0,130,C,300.0,Good,Houses,90995,38691.96,291881,9696,True
Province of West Flanders,Apartment,apartment,200000.0,3.0,112,B,121.0,Good,Apartments,66262,36816.82,237945,5238,False
Province of West Flanders,Apartment,apartment,149000.0,2.0,62,C,245.0,To be done up,Apartments,72586,33257.05,244961,13344,False
Province of Antwerp,Apartment,apartment,695000.0,4.0,240,A,63.0,Good,Apartments,21693,47562.79,72573,10545,True
Brussels-Capital Region,House,house,679000.0,6.0,240,D,180.0,Good,Houses,196828,29704.33,380145,17660,True
Province of Luxembourg,House,house,650000.0,8.0,416,C,213.0,Not specified,Houses,5474,33484.57,23992,5523,True
Province of West Flanders,Apartment,flat-studio,158000.0,1.0,33,C,206.0,Just renovated,Apartments,119869,38379.28,447131,54152,True
Province of Flemish Brabant,House,house,349000.0,3.0,144,F,538.0,To renovate,Houses,9471,46734.84,33432,36558,False
Brussels-Capital Region,Apartment,apartment,445000.0,2.0,85,E,274.0,Just renovated,Apartments,89278,36192.4,192538,3920,True
Province of Hainaut,House,house,795000.0,4.0,234,Not specified,317.0,Not specified,Houses,68554,33809.42,241810,14400,False
Province of Antwerp,Apartment,duplex,220000.0,1.0,88,B,158.0,Good,Apartments,28248,38599.87,86025,7933,True
Province of Liège,House,house,349000.0,2.0,151,G,746.0,Good,Houses,195778,29723.4,553498,4139,True
Province of Antwerp,House,exceptional-property,1490000.0,5.0,564,B,112.0,Good,Luxury Properties,21792,43829.5,76609,4251,True
Province of Flemish Brabant,House,villa,750000.0,4.0,233,D,372.0,To renovate,Luxury Properties,14742,53113.68,48262,3831,True
Province of Liège,House,villa,1300000.0,5.0,472,A,53.0,As new,Luxury Properties,10771,34313.09,39395,19581,True
Brussels-Capital Region,House,house,825000.0,5.0,220,E,252.0,Not specified,Houses,25295,40886.53,68677,9462,True
Province of Namur,Apartment,apartment,179000.0,1.0,92,B,109.0,As new,Apartments,7135,35468.74,27036,0,True
Province of East Flanders,Apartment,apartment,335000.0,4.0,180,F,517.0,To renovate,Apartments,81863,36701.5,247742,11936,False
Province of East Flanders,House,house,349000.0,3.0,177,B,139.0,Just renovated,Houses,26960,38113.98,93444,2636,True
Province of West Flanders,House,house,1195000.0,4.0,204,A,317.0,Not specified,Houses,32514,49005.78,218080,23881,False
Province of Liège,Apartment,apartment,229000.0,1.0,60,C,217.0,As new,Apartments,9344,37946.13,34535,4171,True
Brussels-Capital Region,Apartment,duplex,469000.0,1.0,85,E,224.0,Just renovated,Apartments,89278,36192.4,192538,3920,True
Province of East Flanders,Apartment,apartment,350000.0,2.0,125,B,116.0,Good,Apartments,45471,42117.19,171088,11335,False
Province of Flemish Brabant,House,villa,545000.0,3.0,200,F,543.0,To be done up,Luxury Properties,9471,46734.84,33432,36558,True
Province of East Flanders,House,mixed-use-building,1385000.0,5.0,288,D,302.0,Good,Specialized Properties,47185,38820.1,160975,4396,True
Brussels-Capital Region,Apartment,apartment,279000.0,2.0,105,C,145.0,As new,Apartments,126581,26480.5,210927,18015,True
Province of Hainaut,House,house,148500.0,2.0,183,F,488.0,To renovate,Houses,3879,37641.11,14607,23254,True
Province of Antwerp,House,exceptional-property,764000.0,5.0,401,D,355.0,Good,Luxury Properties,10966,38765.08,33356,10817,True
Province of East Flanders,House,house,350000.0,3.0,160,B,190.0,Good,Houses,22401,34900.42,79144,3997,True
Brussels-Capital Region,Apartment,apartment,295000.0,2.0,72,G,586.0,Good,Apartments,58044,31300.75,97050,19678,True
Province of Liège,House,house,159000.0,2.0,96,B,138.0,As new,Houses,195778,29723.4,553498,4139,True
Province of East Flanders,House,house,355000.0,3.0,90,B,159.0,Good,Houses,7897,40472.99,29616,4045,False
Brussels-Capital Region,Apartment,loft,895000.0,3.0,304,B,88.0,As new,Specialized Properties,26895,22954.31,36878,7264,True
Province of Flemish Brabant,House,house,549000.0,4.0,275,F,698.0,Good,Houses,44878,43899.63,143386,5608,True
Brussels-Capital Region,Apartment,apartment,330000.0,1.0,83,E,221.0,Good,Apartments,196828,29704.33,380145,17660,True
Brussels-Capital Region,Apartment,loft,895000.0,3.0,304,B,88.0,As new,Specialized Properties,98365,25895.01,133439,16848,True
Province of East Flanders,House,villa,565000.0,5.0,353,E,409.0,Good,Luxury Properties,18928,41898.49,69991,23049,True
Brussels-Capital Region,Apartment,apartment,349000.0,2.0,90,D,153.0,Good,Apartments,130405,29104.72,217421,12964,True
Province of Liège,House,house,175000.0,3.0,117,C,179.0,Just renovated,Houses,64266,28856.29,196623,18484,True
Province of Luxembourg,House,exceptional-property,575000.0,5.0,349,E,417.0,To renovate,Luxury Properties,17972,33662.13,63903,1857,False
Province of Antwerp,Apartment,apartment,890000.0,3.0,205,C,214.0,As new,Apartments,544759,33144.07,1227104,4398,True
Province of Luxembourg,House,house,169000.0,3.0,145,F,317.0,To renovate,Houses,5351,36858.77,23238,0,True
Province of Hainaut,House,villa,560000.0,4.0,202,D,316.0,As new,Luxury Properties,12863,40649.85,50862,34467,True
