Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped,Population,Avg_Taxable_Income,Number_of_Buildings,Number_of_Transactions,Add_Fearures
Province of Flemish Brabant,House,mansion,699000.0,6.0,243,C,240.0,To be done up,Luxury Properties,104009,43011.99,344112,18038,True
Province of West Flanders,Apartment,apartment,169000.0,2.0,77,B,317.0,Just renovated,Apartments,39997,38756.11,146579,56882,False
Province of Flemish Brabant,Apartment,ground-floor,330000.0,1.0,92,A,33.0,As new,Apartments,18179,42686.79,51422,20478,True
Province of Limburg,House,house,1295000.0,4.0,347,A,86.0,Good,Houses,48353,37141.45,166976,5702,True
Brussels-Capital Region,Apartment,triplex,1650000.0,3.0,254,E,244.0,Good,Apartments,49293,28468.3,88414,15806,True
Province of Antwerp,Apartment,apartment,179000.0,2.0,72,C,246.0,Good,Apartments,544759,33144.07,1227104,4398,True
Brussels-Capital Region,Apartment,penthouse,1700000.0,3.0,200,C,143.0,Just renovated,Apartments,89278,36192.4,192538,3920,True
Province of Antwerp,House,house,575000.0,6.0,403,C,290.0,Good,Houses,13445,42709.39,49616,192656,True
Province of Antwerp,Apartment,apartment,179000.0,2.0,72,C,246.0,Good,Apartments,544759,33144.07,1227104,4398,True
Province of Walloon Brabant,Apartment,apartment,350000.0,2.0,92,A,73.0,As new,Apartments,28381,34640.31,79056,12977,True
Province of Walloon Brabant,Apartment,apartment,178000.0,2.0,98,B,145.0,Good,Apartments,29070,39782.46,88101,4235,True
Brussels-Capital Region,House,apartment-block,850000.0,3.0,271,F,317.0,Good,Specialized Properties,196828,29704.33,380145,17660,True
Province of Antwerp,House,apartment-block,1085000.0,4.0,543,D,320.0,Good,Specialized Properties,38210,38750.74,123829,15219,True
Province of Antwerp,Apartment,apartment,194900.0,2.0,75,B,186.0,Good,Apartments,544759,33144.07,1227104,4398,True
Province of East Flanders,Apartment,duplex,359000.0,4.0,195,B,105.0,As new,Apartments,19402,42080.81,70655,60203,True
Province of West Flanders,House,house,720000.0,5.0,246,A,97.0,Good,Houses,11455,35914.08,74000,14552,False
Province of Antwerp,Apartment,apartment,179000.0,2.0,65,B,189.0,Just renovated,Apartments,544759,33144.07,1227104,4398,False
Province of Flemish Brabant,House,house,880000.0,4.0,410,C,249.0,Not specified,Houses,44878,43899.63,143386,5608,True
Brussels-Capital Region,House,mansion,995000.0,5.0,280,F,317.0,Good,Luxury Properties,60771,39197.85,137181,288528,True
Province of West Flanders,House,house,795000.0,3.0,231,B,157.0,Just renovated,Houses,119869,38379.28,447131,54152,True
Province of Antwerp,Apartment,apartment,194900.0,2.0,75,B,186.0,Good,Apartments,544759,33144.07,1227104,4398,True
Province of Liège,Apartment,apartment,179000.0,1.0,107,E,353.0,Good,Apartments,5587,40875.86,20425,13763,True
