Post code,Special code,Submunicipality code,Région code,Province code,Arrondissement code,Municipality code,Sub-municipality name (French),Sub-municipality name (Dutch),Sub-municipality name (German),Région name (German),Région name (Dutch),Région name (French),Province name (German),Province name (Dutch),Province name (French),Arrondissement name (German),Arrondissement name (Dutch),Arrondissement name (French),Municipality name (German),Municipality name (Dutch),Municipality name (French)
8600,0,32003B,2000,30000,32000,32003,,Beerst,,,Vlaams Gewest,Région flamande,,West-Vlaanderen,Flandre occidentale (la),,Diksmuide,,,Diksmuide,
8920,0,33040A,2000,30000,33000,33040,,Langemark,,,Vlaams Gewest,Région flamande,,West-Vlaanderen,Flandre occidentale (la),,Ieper,Ypres,,Langemark-Poelkapelle,
6720,0,85046A,3000,80000,85000,85046,Habay-la-Neuve,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Virton,,,Habay
6823,0,85011B,3000,80000,85000,85011,Villers-devant-Orval,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Virton,,,Florenville
6927,0,84068A,3000,80000,84000,84068,Tellin,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Neufchâteau,,,Tellin
1500,0,23027A,2000,20001,23000,23027,,Halle,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Halle-Vilvoorde,Hal-Vilvorde,,Halle,
3454,0,24028B,2000,20001,24000,24028,,Rummen,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Leuven,,,Geetbets,
1850,0,23025A,2000,20001,23000,23025,,Grimbergen,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Halle-Vilvoorde,Hal-Vilvorde,,Grimbergen,
1970,0,23103A,2000,20001,23000,23103,,Wezembeek-Oppem,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Halle-Vilvoorde,Hal-Vilvorde,,Wezembeek-Oppem,Wezembeek-Oppem
9075,1,44021M,2000,40000,44000,44021,,Wondelgem,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Gent,,,Gent,
9870,0,44081B,2000,40000,44000,44081,,Olsene,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Gent,,,Zulte,
9040,0,44021E,2000,40000,44000,44021,,Sint-Amandsberg,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Gent,,,Gent,
9961,0,43002D,2000,40000,43000,43002,,Boekhoute,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Eeklo,,,Assenede,
9060,0,43018A,2000,40000,43000,43018,,Zelzate,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Eeklo,,,Zelzate,
9990,0,43010A,2000,40000,43000,43010,,Maldegem,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Eeklo,,,Maldegem,
4180,0,61024A,3000,60000,61000,61024,Hamoir,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Huy,,,Hamoir
4682,0,62079G,3000,60000,62000,62079,Heure-le-Romain,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Liège,,,Oupeye
4317,0,64076A,3000,60000,64000,64076,Celles,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Waremme,,,Faimes
4340,0,62006D,3000,60000,62000,62006,Villers-l'Évêque,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Liège,,,Awans
4460,0,62118E,3000,60000,62000,62118,Velroux,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Liège,,,Grâce-Hollogne
4720,0,63040A,3000,60000,63000,63040,,,Kelmis,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,Verviers,,Verviers,Kelmis,,La Calamine
7031,0,53053K,3000,50000,53000,53053,Villers-Saint-Ghislain,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Mons,,,Mons
7322,0,51009B-I,3000,50000,51000,51009,Ville-Pommeroeul,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Aat,Ath,,,Bernissart
