Locality,Zip Code,Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped
Bruxelles,1040,Brussels-Capital Region,Apartment,apartment,175000,1,40,1,0,0,0,0,0,0,0,0,2,G,553,To be done up,Apartments
Grimbergen,1850,Province of Flemish Brabant,House,house,250000,3,105,1,0,0,0,0,1,200,0,258,3,F,501,To renovate,Houses
Merksem,2170,Province of Antwerp,House,apartment-block,1249000,9,500,1,0,0,1,80,0,0,0,255,3,B,184,Just renovated,Specialized Properties
Daverdisse,6929,Province of Luxembourg,House,house,590000,6,245,1,0,0,0,0,0,0,0,3612,4,B,167,Just renovated,Houses
Brakel,9660,Province of East Flanders,House,house,258500,2,138,0,0,0,0,0,0,0,0,1250,3,F,701,To renovate,Houses
Wondelgem,9032,Province of East Flanders,House,villa,479000,4,166,1,0,0,0,0,0,0,0,735,0,F,568,To renovate,Luxury Properties
Woluwe-saint-pierre,1150,Brussels-Capital Region,House,house,1275000,5,320,1,0,0,1,25,1,200,0,386,2,C,317,Good,Houses
Saint-gilles,1060,Brussels-Capital Region,House,mixed-use-building,595000,6,350,1,0,0,0,0,0,0,0,0,2,Not specified,317,Good,Specialized Properties
Schaerbeek,1030,Brussels-Capital Region,Apartment,apartment,399000,3,100,1,0,0,1,8,0,0,0,0,2,B,93,As new,Apartments
Hofstade,9308,Province of East Flanders,House,house,1200000,5,600,1,0,0,0,0,0,0,0,0,4,C,216,Not specified,Houses
Hoboken,2660,Province of Antwerp,House,mansion,325000,5,193,1,0,0,0,0,1,54,0,140,2,F,738,To renovate,Luxury Properties
Nivelles,1400,Province of Walloon Brabant,House,house,260000,2,140,1,0,0,1,30,1,70,0,135,2,E,377,Good,Houses
Oudenaarde,9700,Province of East Flanders,House,apartment-block,1185000,14,572,1,0,0,0,0,0,0,0,294,2,B,157,To be done up,Specialized Properties
Dinant,5500,Province of Namur,House,house,240000,4,200,0,0,0,0,0,0,0,0,130,0,D,257,To restore,Houses
Lede,9340,Province of East Flanders,House,house,139000,2,122,1,0,0,1,45,0,0,0,175,3,F,994,To be done up,Houses
Bastogne,6600,Province of Luxembourg,House,house,280000,3,151,1,0,0,0,0,1,608,0,782,4,D,330,Good,Houses
Dinant,5500,Province of Namur,House,house,115000,2,100,0,0,1,1,15,1,460,0,460,2,G,630,To renovate,Houses
Brugge,8000,Province of West Flanders,House,house,649900,6,289,0,0,0,0,0,0,0,0,179,4,C,252,Good,Houses
Grez-doiceau,1390,Province of Walloon Brabant,House,villa,595000,4,226,0,0,0,0,0,1,640,0,640,4,A,80,Just renovated,Luxury Properties
Bruxelles,1000,Brussels-Capital Region,Apartment,apartment,375000,2,92,1,0,0,0,0,0,0,0,0,2,D,169,Good,Apartments
Ronse,9600,Province of East Flanders,House,house,149000,2,130,0,0,0,0,0,1,40,0,240,2,E,428,To renovate,Houses
Flemalle,4400,Province of Liège,House,house,299000,5,138,0,0,0,1,20,1,50,0,230,3,D,338,As new,Houses
Flemalle,4400,Province of Liège,House,house,155000,2,75,1,0,0,1,13,0,0,0,13,4,C,249,Just renovated,Houses
Begijnendijk-betekom,3130,Province of Flemish Brabant,House,country-cottage,625000,4,360,1,0,0,1,120,0,0,0,2200,4,C,296,Good,Houses
Anzegem,8570,Province of West Flanders,House,house,420000,3,175,1,0,0,0,0,1,270,0,497,3,C,211,Good,Houses
Molenbeek-saint-jean,1080,Brussels-Capital Region,Apartment,apartment,165000,1,60,1,0,0,0,0,0,0,0,0,2,G,434,As new,Apartments
Grace-hollogne,4460,Province of Liège,House,house,299000,4,169,1,0,0,1,50,1,248,0,749,4,F,483,Good,Houses
Ans,4430,Province of Liège,House,house,215000,3,132,0,0,0,0,0,1,84,0,234,3,E,408,To be done up,Houses
Knokke,8300,Province of West Flanders,House,villa,1690000,3,291,1,0,0,0,0,0,0,0,732,3,A,45,As new,Luxury Properties
Oostende,8400,Province of West Flanders,Apartment,penthouse,650000,4,219,0,0,0,0,0,0,0,0,0,0,D,387,Good,Apartments
Vorst,1190,Brussels-Capital Region,House,mixed-use-building,650000,4,378,0,0,0,0,0,0,0,0,110,0,Not specified,317,Not specified,Specialized Properties
Berchem,2600,Province of Antwerp,Apartment,apartment,235000,2,85,1,0,0,1,5,0,0,0,0,3,B,197,As new,Apartments
Herve,4651,Province of Liège,House,house,315000,3,180,1,0,0,1,20,1,185,0,180,3,D,326,Good,Houses
Flemalle,4400,Province of Liège,House,house,230000,4,190,1,0,0,0,0,0,0,0,131,3,D,259,Good,Houses
Liege,4000,Province of Liège,House,house,319000,3,120,1,0,0,1,120,0,0,0,150,2,E,346,As new,Houses
Bruxelles,1000,Brussels-Capital Region,House,house,1290000,5,449,0,0,1,0,0,1,140,0,395,0,F,301,Good,Houses
Woluwe-saint-pierre,1150,Brussels-Capital Region,House,house,795000,5,206,1,0,0,0,0,0,0,0,120,2,G,465,Good,Houses
Deinze,9800,Province of East Flanders,Apartment,apartment,179000,2,73,1,0,0,0,0,0,0,0,0,0,B,186,Good,Apartments
Nassogne,6950,Province of Luxembourg,House,house,180000,2,108,0,0,0,0,0,1,322,0,322,4,G,518,To be done up,Houses
Zottegem,9620,Province of East Flanders,Apartment,apartment,269500,1,82,1,0,0,1,9,0,0,0,0,0,A,59,Good,Apartments
Ixelles,1050,Brussels-Capital Region,Apartment,duplex,695000,3,200,1,0,0,0,0,0,0,0,0,2,D,201,As new,Apartments
Stabroek,2940,Province of Antwerp,House,house,689000,4,357,0,0,0,0,0,1,9389,0,9589,4,D,371,Not specified,Houses
Liege,4000,Province of Liège,House,house,249000,4,160,1,0,0,1,30,1,130,0,250,2,C,245,Good,Houses
Zottegem,9620,Province of East Flanders,Apartment,apartment,319500,2,90,1,0,0,1,13,0,0,0,0,0,A,59,Good,Apartments
Gentbrugge,9050,Province of East Flanders,House,house,320000,1,98,0,0,1,1,12,1,125,0,185,2,F,632,To renovate,Houses
Saint-nicolas,4420,Province of Liège,House,mixed-use-building,249000,2,131,1,0,0,0,0,1,150,0,280,2,F,487,Good,Specialized Properties
Antwerpen,2000,Province of Antwerp,Apartment,duplex,1295000,2,216,0,0,0,1,18,1,98,0,0,2,B,133,Not specified,Apartments
Anderlecht,1070,Brussels-Capital Region,Apartment,apartment,189000,2,58,1,0,0,0,0,0,0,0,0,2,F,337,Good,Apartments
Aalst,9300,Province of East Flanders,House,apartment-block,699000,3,300,0,0,0,0,0,0,0,0,0,2,B,184,Not specified,Specialized Properties
Wanze,4520,Province of Liège,House,house,249000,3,150,1,0,0,1,37,1,291,0,389,3,F,480,Good,Houses
Heverlee,3001,Province of Flemish Brabant,Apartment,apartment,1270000,4,325,0,0,0,0,0,0,0,0,0,2,B,174,As new,Apartments
Walhain,1457,Province of Walloon Brabant,House,house,699000,4,316,1,0,0,0,0,0,0,0,1551,3,A,317,Not specified,Houses
Liege,4000,Province of Liège,House,house,189000,4,145,0,0,0,1,42,0,0,0,909,2,E,377,Good,Houses
Deurne,2100,Province of Antwerp,House,house,329000,3,168,1,0,1,0,0,1,30,0,130,2,D,391,To be done up,Houses
Sint-michiels,8200,Province of West Flanders,House,villa,745000,4,257,0,0,0,0,0,0,0,0,1050,0,B,189,Not specified,Luxury Properties
Westende,8434,Province of West Flanders,Apartment,apartment,199500,1,61,0,1,0,0,0,0,0,0,0,0,D,322,Good,Apartments
Borgerhout,2140,Province of Antwerp,House,house,329900,6,145,1,0,0,0,0,1,10,0,75,2,C,275,Good,Houses
Ans,4430,Province of Liège,House,town-house,199000,3,115,1,0,0,1,17,0,0,0,120,2,E,396,To renovate,Houses
Dinant,5500,Province of Namur,House,house,279000,3,155,0,0,1,1,16,1,1868,0,1868,4,E,425,Good,Houses
Kapellen,2950,Province of Antwerp,House,country-cottage,695000,4,265,1,0,1,1,50,0,0,0,3967,4,C,250,Good,Houses
Uccle,1180,Brussels-Capital Region,Apartment,flat-studio,205000,1,36,1,0,0,1,18,0,0,0,0,4,D,168,Good,Apartments
Middelkerke,8430,Province of West Flanders,Apartment,apartment,320000,2,74,0,1,0,0,0,0,0,0,0,0,B,180,Good,Apartments
Watervliet,9988,Province of East Flanders,House,house,599000,4,289,0,0,0,0,0,0,0,0,2624,4,B,161,As new,Houses
Antwerpen,2610,Province of Antwerp,Apartment,apartment,215000,1,71,1,0,0,0,0,0,0,0,0,0,C,268,Good,Apartments
Oudenaarde,9700,Province of East Flanders,House,house,340000,4,139,0,0,0,0,0,0,0,0,215,3,C,243,Good,Houses
Seraing,4100,Province of Liège,House,house,179000,3,125,0,0,0,1,19,1,145,0,226,2,D,305,Good,Houses
Les-bons-villers,6210,Province of Hainaut,House,villa,249900,3,101,0,0,0,1,20,1,900,0,1157,4,G,643,To be done up,Luxury Properties
Mol,2400,Province of Antwerp,House,villa,523500,4,241,1,0,0,0,0,0,0,0,748,3,Not specified,317,Not specified,Luxury Properties
Gistel,8470,Province of West Flanders,House,apartment-block,750000,7,387,0,0,0,0,0,0,0,0,425,2,E,482,To be done up,Specialized Properties
Libramont-chevigny,6800,Province of Luxembourg,House,house,339000,8,120,1,1,0,1,40,1,630,0,770,3,C,317,Good,Houses
Herstal,4040,Province of Liège,House,mansion,289000,3,190,1,0,0,1,16,1,400,0,300,2,Not specified,317,Just renovated,Luxury Properties
Willebroek,2830,Province of Antwerp,House,villa,1550000,4,460,1,0,0,0,0,0,0,0,609,0,A,16,Not specified,Luxury Properties
Ledeberg,9050,Province of East Flanders,Apartment,apartment,399000,2,142,0,0,0,1,60,0,0,0,0,0,C,257,Good,Apartments
Kruisem,9770,Province of East Flanders,House,house,750000,5,274,1,0,0,0,0,0,0,0,11490,4,F,763,To be done up,Houses
Geraardsbergen,9506,Province of East Flanders,House,town-house,310000,3,154,1,0,0,1,30,1,56,0,137,2,C,223,As new,Houses
Forest,1190,Brussels-Capital Region,House,mixed-use-building,299000,4,197,1,0,0,1,4,1,10,0,170,2,E,223,To renovate,Specialized Properties
Flemalle,4400,Province of Liège,House,house,345000,3,112,1,0,0,1,21,1,580,0,770,3,B,119,Just renovated,Houses
Schaerbeek,1030,Brussels-Capital Region,House,house,860000,5,254,1,0,0,1,25,0,0,0,137,2,D,208,As new,Houses
Kontich,2550,Province of Antwerp,House,house,889000,4,200,0,0,1,1,40,1,1500,0,1928,4,D,385,Not specified,Houses
Berchem,2600,Province of Antwerp,Apartment,apartment,249000,2,100,0,0,0,1,10,0,0,0,0,0,Not specified,317,To renovate,Apartments
Moerbeke,9180,Province of East Flanders,House,house,345000,4,165,0,0,0,1,60,1,100,0,311,3,D,306,Good,Houses
Boussu-lez-walcourt,6440,Province of Hainaut,House,villa,249000,3,115,0,0,0,1,31,0,0,0,96,4,D,308,As new,Luxury Properties
Roeselare,8800,Province of West Flanders,House,house,320000,3,150,0,0,0,0,0,0,0,0,290,0,B,133,Just renovated,Houses
Ghoy,7863,Province of Hainaut,House,mixed-use-building,1480000,3,347,0,0,0,1,16,0,0,0,22520,4,A,58,Good,Specialized Properties
Oostende,8400,Province of West Flanders,Apartment,apartment,419000,2,105,0,0,0,1,14,0,0,0,0,0,A,75,Good,Apartments
Oudenaarde,9700,Province of East Flanders,House,house,349500,3,167,0,0,0,0,0,0,0,0,600,3,D,335,Good,Houses
Ronse,9600,Province of East Flanders,House,house,259000,3,190,1,0,0,1,20,1,300,0,355,2,C,246,As new,Houses
Geraardsbergen,9500,Province of East Flanders,House,house,649000,5,304,1,0,0,1,30,1,3200,0,3746,4,D,395,Not specified,Houses
Bruxelles,1000,Brussels-Capital Region,Apartment,apartment,1150000,3,221,1,0,0,1,11,0,0,0,0,2,C,98,As new,Apartments
Wuustwezel,2990,Province of Antwerp,House,house,759000,4,282,1,0,1,0,0,0,0,0,1195,4,A,75,Not specified,Houses
Liege,4000,Province of Liège,Apartment,apartment,215000,2,130,0,0,0,1,10,0,0,0,0,2,B,141,To be done up,Apartments
Affligem,1790,Province of Flemish Brabant,House,house,319000,3,169,1,0,0,1,20,1,270,0,403,3,E,411,Good,Houses
Hamois,5360,Province of Namur,House,house,595000,3,210,1,0,1,0,0,0,0,0,4243,4,C,180,As new,Houses
Lasne,1380,Province of Walloon Brabant,House,house,890000,4,284,0,0,0,0,0,1,2300,0,2500,4,E,420,To renovate,Houses
Hannut,4280,Province of Liège,House,house,329000,4,198,0,0,1,1,28,1,600,0,600,4,F,471,Good,Houses
Seraing,4101,Province of Liège,House,house,139000,3,84,1,0,0,0,0,0,0,0,60,3,D,320,Good,Houses
Libramont-chevigny,6800,Province of Luxembourg,Apartment,apartment,269000,3,121,1,0,0,1,40,0,0,0,0,0,B,109,Just renovated,Apartments
Flemalle,4400,Province of Liège,House,mixed-use-building,350000,3,120,1,0,0,1,50,1,300,0,393,2,D,273,Good,Specialized Properties
Olne,4877,Province of Liège,House,town-house,345000,3,122,1,0,0,1,30,1,459,0,557,3,B,133,Good,Houses
Geraardsbergen,9506,Province of East Flanders,House,house,649000,5,304,1,0,0,1,30,1,3200,0,3746,4,D,395,Not specified,Houses
Mol,2400,Province of Antwerp,House,villa,545000,3,302,0,0,0,0,0,0,0,0,931,4,C,215,Good,Luxury Properties
Antwerpen,2060,Province of Antwerp,Apartment,apartment,279500,2,92,1,0,0,1,30,0,0,0,0,2,B,197,Good,Apartments
Zoutleeuw,3440,Province of Flemish Brabant,House,exceptional-property,945000,8,511,1,0,0,1,65,0,0,0,4022,0,A,82,Not specified,Luxury Properties
Libramont-chevigny,6800,Province of Luxembourg,Apartment,apartment,269000,3,120,1,0,0,1,20,0,0,0,0,0,B,109,Just renovated,Apartments
Dison,4820,Province of Liège,House,house,350000,3,180,1,0,0,1,835,1,700,0,802,4,C,177,Good,Houses
Zandhoven,2243,Province of Antwerp,House,house,349000,3,180,1,0,0,0,0,0,0,0,474,4,F,1215,To renovate,Houses
De-haan,8420,Province of West Flanders,Apartment,apartment,185000,1,57,1,0,0,0,0,0,0,1,0,0,D,306,Good,Apartments
Chastre,1450,Province of Walloon Brabant,House,house,950000,4,320,1,0,0,1,20,1,3100,0,3366,4,G,612,Good,Houses
Braine-le-chateau,1440,Province of Walloon Brabant,House,house,350000,3,161,0,0,0,0,0,1,800,0,893,4,D,287,Good,Houses
Brasschaat,2930,Province of Antwerp,House,villa,899000,4,291,1,0,0,0,0,0,0,0,871,4,B,317,Good,Luxury Properties
Willebroek-blaasveld,2830,Province of Antwerp,House,house,645000,4,273,1,0,1,0,0,0,0,0,479,3,A,19,As new,Houses
Jauche,1350,Province of Walloon Brabant,House,house,299000,3,119,1,0,0,1,95,1,1063,0,1230,4,D,327,To be done up,Houses
Grembergen,9200,Province of East Flanders,House,house,353000,3,193,1,0,0,0,0,1,575,0,575,3,D,371,Good,Houses
Zottegem,9620,Province of East Flanders,House,house,549000,5,363,0,0,0,0,0,0,0,0,806,4,C,272,As new,Houses
Aalst,9300,Province of East Flanders,Apartment,apartment,240000,2,104,0,0,0,0,0,0,0,0,0,0,B,105,Good,Apartments
Bousval,1470,Province of Walloon Brabant,House,villa,699000,4,300,1,0,1,1,35,1,1200,0,1523,4,B,139,As new,Luxury Properties
Hoeilaart,1560,Province of Flemish Brabant,House,house,1095000,5,265,1,0,1,1,35,0,0,0,2500,4,D,334,Good,Houses
Jodoigne,1370,Province of Walloon Brabant,House,house,299000,3,119,1,0,0,1,95,1,1063,0,1230,4,D,327,To be done up,Houses
Grimbergen,1850,Province of Flemish Brabant,House,town-house,379000,3,165,1,0,0,0,0,1,220,0,310,3,F,654,To renovate,Houses
Brecht,2960,Province of Antwerp,House,villa,1099000,4,452,1,0,1,0,0,0,0,0,2055,4,C,223,Good,Luxury Properties
Rhode-saint-genese,1640,Province of Flemish Brabant,House,villa,750000,5,250,1,0,0,1,50,1,500,0,954,4,F,553,Good,Luxury Properties
Woluwe-saint-pierre,1150,Brussels-Capital Region,Apartment,apartment,355000,2,85,1,0,0,1,7,0,0,0,0,3,G,425,As new,Apartments
Uccle,1180,Brussels-Capital Region,House,house,410000,2,110,1,0,0,0,0,1,100,0,210,2,E,236,Not specified,Houses
Wingene,8750,Province of West Flanders,House,villa,895000,3,443,0,0,0,0,0,0,0,0,3475,0,B,163,Not specified,Luxury Properties
Oud-heverlee,3050,Province of Flemish Brabant,House,house,1145000,2,212,0,0,0,0,0,0,0,0,956,4,B,317,As new,Houses
Zaventem,1932,Province of Flemish Brabant,House,house,359000,3,155,0,0,0,1,28,1,28,0,268,2,E,459,To be done up,Houses
Buizingen,1501,Province of Flemish Brabant,House,house,385000,2,115,0,0,0,1,25,1,50,0,387,3,F,680,Good,Houses
Scherpenheuvel-zichem,3270,Province of Flemish Brabant,House,house,895000,4,250,0,0,0,0,0,0,0,1,3967,4,B,141,As new,Houses
Uccle,1180,Brussels-Capital Region,Apartment,apartment,310000,2,98,1,0,0,1,12,0,0,0,0,3,F,279,To renovate,Apartments
Westerlo,2260,Province of Antwerp,House,villa,1075000,5,267,1,0,1,0,0,0,0,1,2445,4,C,279,As new,Luxury Properties
Affligem,1790,Province of Flemish Brabant,House,house,379000,3,155,1,0,0,1,35,1,200,0,383,3,D,331,Good,Houses
Grez-doiceau,1390,Province of Walloon Brabant,House,exceptional-property,1100000,4,240,1,0,0,0,0,0,0,0,3528,4,D,262,As new,Luxury Properties
Blankenberge,8370,Province of West Flanders,Apartment,duplex,449000,3,141,1,0,0,0,0,0,0,0,0,2,B,199,Good,Apartments
Merelbeke,9820,Province of East Flanders,House,house,379000,3,175,1,0,0,0,0,1,412,0,564,3,D,337,Good,Houses
Oostende,8400,Province of West Flanders,Apartment,apartment,320000,2,88,0,0,0,1,4,0,0,0,0,0,B,143,To be done up,Apartments
Sint-pieters-leeuw,1600,Province of Flemish Brabant,House,town-house,420000,3,200,1,0,0,1,15,1,200,0,250,3,C,234,Good,Houses
Jette,1090,Brussels-Capital Region,House,house,515000,4,310,1,0,0,1,56,0,0,0,0,2,F,342,To be done up,Houses
Gent,9000,Province of East Flanders,House,apartment-block,1195000,5,256,0,0,0,0,0,0,0,0,0,0,F,558,Good,Specialized Properties
Ittre,1460,Province of Walloon Brabant,House,villa,1150000,4,400,1,0,0,0,0,1,3197,1,3497,4,B,161,Good,Luxury Properties
Antwerpen,2000,Province of Antwerp,Apartment,apartment,449000,3,166,0,0,0,0,0,0,0,0,0,2,C,215,Good,Apartments
Halle,1500,Province of Flemish Brabant,House,house,620000,5,201,0,0,0,0,0,0,0,0,420,4,B,107,As new,Houses
Jette,1090,Brussels-Capital Region,House,mixed-use-building,1200000,7,488,0,0,0,0,0,0,0,0,345,0,Not specified,317,Not specified,Specialized Properties
Maldegem,9990,Province of East Flanders,House,house,235000,3,105,1,0,0,0,0,1,200,0,310,3,F,1259,To renovate,Houses
Bruxelles,1000,Brussels-Capital Region,Apartment,apartment,385000,2,88,1,0,0,1,7,0,0,0,0,2,B,68,As new,Apartments
Heist-aan-zee,8301,Province of West Flanders,House,house,395000,3,139,1,0,0,1,118,1,118,0,193,0,B,198,Good,Houses
Anthisnes-tavier,4163,Province of Liège,House,house,445000,3,170,1,0,0,1,90,1,1913,0,1992,4,C,202,As new,Houses
Antwerpen,2018,Province of Antwerp,House,mansion,1200000,6,478,0,0,0,1,53,1,135,0,322,2,C,298,As new,Luxury Properties
Anderlecht,1070,Brussels-Capital Region,Apartment,duplex,385000,1,93,1,0,0,1,27,0,0,0,0,2,B,86,As new,Apartments
Aalst,9300,Province of East Flanders,House,house,255000,3,173,0,0,0,0,0,0,0,0,614,0,F,845,To renovate,Houses
Woluwe-saint-lambert,1200,Brussels-Capital Region,Apartment,apartment,335000,2,105,1,0,0,1,4,0,0,0,0,2,D,153,Not specified,Apartments
Brussel,1000,Brussels-Capital Region,Apartment,apartment,375000,2,110,1,0,0,1,13,0,0,0,0,2,D,177,Good,Apartments
Zandvliet,2040,Province of Antwerp,House,house,389000,2,129,1,0,0,0,0,1,238,0,238,0,B,193,Good,Houses
Anthisnes,4160,Province of Liège,House,house,445000,3,170,1,0,0,1,90,1,1913,0,1992,4,C,202,As new,Houses
Wezembeek-oppem,1970,Province of Flemish Brabant,House,mixed-use-building,525000,3,398,0,0,0,0,0,0,0,0,948,2,Not specified,317,Not specified,Specialized Properties
Halle,1502,Province of Flemish Brabant,House,villa,795000,3,286,1,0,0,0,0,0,0,0,500,4,A,85,As new,Luxury Properties
Strombeek-bever,1853,Province of Flemish Brabant,House,house,399000,4,190,1,0,0,1,28,1,57,0,291,0,D,371,To renovate,Houses
Havelange,5370,Province of Namur,House,house,445000,4,170,0,0,0,1,47,1,927,1,927,4,B,142,Just renovated,Houses
Gent,9000,Province of East Flanders,House,house,965000,0,249,1,0,0,0,0,0,0,0,0,0,B,168,As new,Houses
Hoboken,2660,Province of Antwerp,House,house,399000,5,125,0,0,0,0,0,1,66,0,253,2,C,223,As new,Houses
Moorsel,9310,Province of East Flanders,House,house,255000,3,173,0,0,0,0,0,0,0,0,614,0,F,845,To renovate,Houses
Wommelgem,2160,Province of Antwerp,House,house,449000,2,200,1,0,0,0,0,1,970,0,1303,4,F,785,Good,Houses
Antwerpen,2000,Province of Antwerp,Apartment,apartment,859000,4,232,1,0,0,1,25,0,0,0,0,2,B,115,Not specified,Apartments
Bruxelles,1120,Brussels-Capital Region,House,house,549000,5,219,1,0,0,1,9,1,120,0,180,2,C,117,As new,Houses
Forest,1190,Brussels-Capital Region,House,exceptional-property,1695000,7,432,1,0,0,0,0,0,0,0,168,2,E,237,Good,Luxury Properties
Leuven,3000,Province of Flemish Brabant,Apartment,apartment,265000,2,60,0,0,0,1,7,0,0,0,0,2,F,632,To be done up,Apartments
Anderlecht,1070,Brussels-Capital Region,House,house,395000,4,140,1,0,0,0,0,1,40,0,90,2,F,277,As new,Houses
Leuven,3000,Province of Flemish Brabant,Apartment,apartment,295000,2,60,0,0,0,1,7,0,0,0,0,2,B,157,Good,Apartments
De-pinte,9840,Province of East Flanders,House,house,472000,4,184,1,0,0,1,20,1,544,0,728,4,C,282,Good,Houses
Jodoigne,1370,Province of Walloon Brabant,House,house,900000,6,570,1,0,0,0,0,0,0,0,2130,0,Not specified,317,Not specified,Houses
Andenne,5300,Province of Namur,House,other-property,525000,5,210,0,0,0,1,1,1,1,0,0,3,B,317,Good,Specialized Properties
Leuven,3000,Province of Flemish Brabant,Apartment,apartment,299500,2,60,0,0,0,0,0,1,100,0,0,2,C,223,To be done up,Apartments
Destelbergen,9070,Province of East Flanders,House,house,465000,4,175,0,0,0,0,0,0,0,0,120,3,B,132,Just renovated,Houses
Jodoigne-dongelberg,1370,Province of Walloon Brabant,House,villa,475000,3,142,1,0,0,1,39,1,1504,1,1623,4,C,186,Good,Luxury Properties
Ronse,9600,Province of East Flanders,House,house,435000,4,180,1,0,0,1,30,1,1750,0,2587,4,B,172,Good,Houses
Antwerpen,2600,Province of Antwerp,House,house,469000,3,155,1,0,1,1,25,1,90,0,185,2,C,222,As new,Houses
Knokke-heist,8301,Province of West Flanders,House,villa,1045000,4,222,1,0,0,0,0,1,338,0,601,4,C,256,As new,Luxury Properties
Beersel-alsemberg,1652,Province of Flemish Brabant,House,house,450000,3,130,1,0,0,1,15,1,558,0,679,4,E,426,Good,Houses
Zutendaal,3690,Province of Limburg,Apartment,penthouse,980000,2,239,0,0,0,1,33,0,0,0,0,0,B,190,As new,Apartments
Rekkem,8930,Province of West Flanders,House,house,525000,5,362,0,0,0,0,0,0,0,0,700,0,D,318,Good,Houses
Bouillon-corbion,6838,Province of Luxembourg,House,house,149500,5,156,1,0,0,1,15,1,400,0,562,2,G,601,To renovate,Houses
Woluwe-saint-lambert,1200,Brussels-Capital Region,Apartment,apartment,445000,2,92,1,1,0,1,22,0,0,0,0,2,B,60,Good,Apartments
Wichelen,9260,Province of East Flanders,House,house,469000,3,182,0,0,0,0,0,0,0,0,1550,4,C,299,To be done up,Houses
Gistel,8470,Province of West Flanders,House,villa,479000,3,188,1,0,0,0,0,0,0,0,632,4,B,156,Good,Luxury Properties
Grace-hollogne,4460,Province of Liège,House,house,179000,2,151,0,0,0,0,0,1,275,0,476,2,D,326,To renovate,Houses
Affligem,1790,Province of Flemish Brabant,House,house,495000,4,195,1,0,0,1,65,1,400,0,871,4,C,278,As new,Houses
Schaerbeek,1030,Brussels-Capital Region,House,house,795000,5,270,1,0,0,0,0,0,0,0,170,2,E,274,Good,Houses
Ixelles,1050,Brussels-Capital Region,Apartment,apartment,460000,2,87,1,1,0,0,0,0,0,0,0,2,B,81,As new,Apartments
Uccle,1180,Brussels-Capital Region,House,house,345000,2,110,0,0,0,0,0,0,0,0,80,2,F,304,Good,Houses
Vilvoorde,1800,Province of Flemish Brabant,House,mansion,595000,7,382,0,0,0,0,0,1,220,0,328,2,C,290,Not specified,Luxury Properties
Noiseux,5377,Province of Namur,House,chalet,195000,2,85,0,0,0,1,45,0,0,0,1197,4,D,262,Not specified,Luxury Properties
Braine-lalleud,1420,Province of Walloon Brabant,House,villa,450000,3,120,1,0,0,1,15,1,223,0,223,4,D,317,Good,Luxury Properties
Hooglede,8830,Province of West Flanders,House,house,199000,3,110,1,0,0,0,0,0,0,0,741,0,E,424,To be done up,Houses
Ans,4430,Province of Liège,House,house,230000,3,115,1,1,1,1,40,1,187,0,255,2,D,306,Good,Houses
Woluwe-saint-pierre,1150,Brussels-Capital Region,House,apartment-block,995000,5,290,1,0,0,1,9,1,20,0,315,2,D,164,Good,Specialized Properties
Tubize,1480,Province of Walloon Brabant,House,villa,399000,3,120,0,0,0,1,30,1,550,0,642,4,D,262,Good,Luxury Properties
Lokeren-eksaarde,9160,Province of East Flanders,Apartment,duplex,349000,2,140,1,0,0,1,12,0,0,0,0,2,B,108,As new,Apartments
Zwalm,9630,Province of East Flanders,House,villa,995000,6,561,0,0,0,0,0,0,0,0,4925,0,D,395,Good,Luxury Properties
Jupille-sur-meuse,4020,Province of Liège,House,villa,600000,5,304,1,0,1,1,60,0,0,0,1394,4,D,270,As new,Luxury Properties
Merksem,2170,Province of Antwerp,Apartment,apartment,185000,2,70,1,0,0,1,3,0,0,0,0,2,B,154,Good,Apartments
Auderghem,1160,Brussels-Capital Region,Apartment,apartment,299000,2,97,0,0,0,1,2,0,0,0,0,2,E,252,To be done up,Apartments
Horebeke,9667,Province of East Flanders,House,villa,995000,6,561,0,0,0,0,0,0,0,0,4925,0,D,395,Good,Luxury Properties
Ganshoren,1083,Brussels-Capital Region,Apartment,apartment,230000,2,95,1,0,0,1,6,0,0,0,0,2,D,183,To be done up,Apartments
Hoboken,2660,Province of Antwerp,House,house,334000,3,127,1,0,0,1,20,1,70,0,184,2,C,204,Good,Houses
Wavre,1300,Province of Walloon Brabant,House,villa,479000,4,174,0,0,0,1,44,1,986,0,1103,4,B,166,Good,Luxury Properties
Moircy,6800,Province of Luxembourg,House,exceptional-property,495000,5,189,1,0,0,0,0,0,0,0,10680,4,D,301,To be done up,Luxury Properties
Gent,9000,Province of East Flanders,Apartment,duplex,465000,3,145,1,0,0,0,0,0,0,0,0,2,A,78,As new,Apartments
Braine-lalleud,1420,Province of Walloon Brabant,Apartment,apartment,431000,3,138,0,0,0,1,21,0,0,0,0,4,A,317,Not specified,Apartments
Deerlijk,8540,Province of West Flanders,House,farmhouse,655000,3,450,1,0,0,0,0,0,0,0,4410,4,D,305,Good,Houses
Brugge,8000,Province of West Flanders,House,house,695000,6,340,1,0,0,0,0,0,0,0,167,2,F,758,Good,Houses
Hoevenen,2940,Province of Antwerp,Apartment,apartment,257000,2,80,1,0,0,1,50,0,0,0,0,0,C,263,Good,Apartments
