Locality,Zip Code,Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped
Rijkevorsel,2310,Province of Antwerp,House,house,895000,5,383,0,0,1,0,0,0,0,0,8093,4,C,260,Good,Houses
Oostkamp,8020,Province of West Flanders,Apartment,apartment,300000,2,93,0,0,0,1,6,0,0,0,0,2,B,136,As new,Apartments
Leuven,3000,Province of Flemish Brabant,House,house,575000,6,270,0,0,0,0,0,1,80,0,210,0,D,317,To renovate,Houses
Brugge,8000,Province of West Flanders,House,mansion,895000,5,396,1,0,1,1,35,0,0,0,185,4,C,234,Not specified,Luxury Properties
Deurne,2100,Province of Antwerp,House,house,424000,3,150,1,0,0,1,15,1,55,0,155,2,C,204,Good,Houses
Melsbroek,1820,Province of Flemish Brabant,House,house,499000,4,175,1,0,0,0,0,0,0,0,340,0,B,149,Good,Houses
Kraainem,1950,Province of Flemish Brabant,House,mixed-use-building,595000,4,350,0,0,0,0,0,1,1400,0,1724,4,F,780,Good,Specialized Properties
Oostkamp,8020,Province of West Flanders,Apartment,apartment,310000,2,100,0,0,0,1,35,0,0,0,0,2,B,137,As new,Apartments
Schilde,2970,Province of Antwerp,House,house,599000,6,245,0,0,0,0,0,0,0,0,950,4,D,398,Good,Houses
Gent,9000,Province of East Flanders,House,house,895000,3,250,0,0,0,0,0,0,0,0,104,4,A,99,As new,Houses
Westerlo,2260,Province of Antwerp,House,house,350000,4,181,1,0,1,1,66,1,350,0,629,4,C,236,Good,Houses
Liege,4000,Province of Liège,House,house,159000,3,88,1,0,0,0,0,1,135,0,255,3,G,559,To renovate,Houses
Grace-hollogne,4460,Province of Liège,House,house,65000,3,91,1,0,0,0,0,1,40,0,275,3,G,857,To renovate,Houses
Antwerpen,2018,Province of Antwerp,House,mansion,1395000,7,483,0,0,0,0,0,0,0,1,180,2,C,250,As new,Luxury Properties
Knokke,8300,Province of West Flanders,House,house,875000,6,215,0,0,0,0,0,0,0,0,249,4,F,616,Good,Houses
Watermael-boitsfort,1170,Brussels-Capital Region,Apartment,apartment,450000,3,115,1,0,1,1,34,0,0,0,0,3,Not specified,317,Good,Apartments
Watermael-boitsfort,1170,Brussels-Capital Region,House,house,545000,4,200,1,0,0,1,10,1,20,0,150,2,G,442,To renovate,Houses
Schilde,2970,Province of Antwerp,House,villa,910000,5,326,1,0,0,0,0,1,1188,0,1620,4,B,167,As new,Luxury Properties
Brugge,8000,Province of West Flanders,House,house,899000,5,290,0,0,0,0,0,0,0,0,325,4,C,270,Good,Houses
Deurne,2100,Province of Antwerp,House,mixed-use-building,199000,2,84,1,0,0,0,0,0,0,0,190,2,B,166,Just renovated,Specialized Properties
Charleroi,6000,Province of Hainaut,Apartment,apartment,70000,2,83,0,0,0,0,0,0,0,0,0,4,B,150,To renovate,Apartments
Tervuren,3080,Province of Flemish Brabant,House,villa,685000,6,321,0,0,0,0,0,0,0,0,789,4,C,229,Not specified,Luxury Properties
Balen,2490,Province of Antwerp,House,villa,949000,3,300,0,0,0,0,0,0,0,0,3424,4,A,26,Good,Luxury Properties
Zoersel,2980,Province of Antwerp,House,villa,699900,5,300,0,0,0,0,0,0,0,0,1620,4,B,168,Good,Luxury Properties
Gent,9040,Province of East Flanders,House,house,295000,4,144,0,0,0,1,18,0,0,0,110,2,E,462,To renovate,Houses
Lievegem,9950,Province of East Flanders,House,house,250000,2,134,0,0,0,0,0,0,0,0,296,3,E,486,To restore,Houses
